type,address_1,address_2,open_hours,city,state,postal_code,latitude,longitude
Pizza Hut,451 Oro Dam Blvd E,,9:30 AM - 11:00 PM,Oroville,CA,95965,39.6054,-121.5751
Pizza Hut,2410 Saviers Rd,,10:00 AM - 11:00 PM,Oxnard,CA,93033,34.1685,-119.1717
Pizza Hut Express,2850 N. Oxnard Blvd.,,,Oxnard,CA,93036,34.2351,-119.182
Pizza Hut,820 N Ventura Rd,,10:30 AM - 11:00 PM,Oxnard,CA,93030,34.2141,-119.175
Pizza Hut,10365 Laurel Canyon Blvd.,,10:00 AM - 12:00 AM,Pacoima,CA,91331,34.2556,-118.4208
Pizza Hut,1180 S Palm Canyon Dr,,10:30 AM - 11:00 PM,Palm Springs,CA,92264,33.8018,-116.517
Pizza Hut Express,1475 W. Avenue P.,Cinemark Antelope Valley Mall #362,,Palmdale,CA,93551,34.6017,-118.231
Pizza Hut,220 E Palmdale Blvd,,10:00 AM - 12:00 AM,Palmdale,CA,93550,34.4133,-118.0917
Pizza Hut,37244 47th St.,Suite C-3,10:30 AM - 11:00 PM,Palmdale,CA,93550,34.4133,-118.0917
Pizza Hut,37926 47th Street East,Suite B,10:30 AM - 11:00 PM,Palmdale,CA,93552,34.5715,-118.0231
Pizza Hut Express,38019 47th Street East,,,Palmdale,CA,93552,34.5715,-118.0231
Pizza Hut,5037 W. Avenue N,#5,10:30 AM - 11:00 PM,Palmdale,CA,93551,34.6017,-118.231
Pizza Hut Express,1701 E Bayshore Rd.,,,Palo Alto,CA,94303,37.4673,-122.1388
Pizza Hut,14500 Nordhoff St,,10:00 AM - 12:00 AM,Panorama City,CA,91402,34.2262,-118.447
Pizza Hut,8509 Alondra Blvd,Ste B,10:00 AM - 12:00 AM,Paramount,CA,90723,33.8969,-118.1632
Pizza Hut,1269 N. Lake Ave.,,10:30 AM - 12:00 AM,Pasadena,CA,91104,34.1678,-118.1261
Pizza Hut,1675 N Perris Blvd,Ste E,9:30 AM - 11:00 PM,Perris,CA,92571,33.811,-117.218
Pizza Hut Express,401 Kenilworth Drive,,,Petaluma,CA,94952,38.2403,-122.6777
Pizza Hut,9338 Whittier Blvd,,10:00 AM - 11:00 PM,Pico Rivera,CA,90660,33.9886,-118.0883
Pizza Hut Express,1400 Fitzgerald Drive,,,Pinole,CA,94564,37.9969,-122.2875
Pizza Hut,901 E Yorba Linda Blvd,,10:00 AM - 12:00 AM,Placentia,CA,92870,33.8744,-117.8543
Pizza Hut Express,125 Crescent Drive,Century 16 Downtown #463,,Pleasant Hill,CA,94523,37.954,-122.0737
Pizza Hut Express,560 Contra Costa Blvd.,,,Pleasant Hill,CA,94523,37.954,-122.0737
Pizza Hut,2218 S Garey Ave,,10:00 AM - 12:00 AM,Pomona,CA,91766,34.0418,-117.7569
Pizza Hut,2301 N Garey Ave,,10:00 AM - 12:00 AM,Pomona,CA,91767,34.0812,-117.7362
Pizza Hut Express,701 Rio Rancho Road,,,Pomona,CA,91766,34.0418,-117.7569
Pizza Hut,467 W Channel Islands Blvd,,10:30 AM - 11:00 PM,Port Hueneme,CA,93041,34.1626,-119.1973
Pizza Hut Express,1363 W. Henderson Avenue,,,Porterville,CA,93257,36.0686,-119.0315
Pizza Hut,276 West Henderson,,9:30 AM - 11:00 PM,Porterville,CA,93257,36.0686,-119.0315
Pizza Hut,393 W.Olive,,9:30 AM - 11:00 PM,Porterville,CA,93257,36.0686,-119.0315
Pizza Hut Express,14823 Pomerado Road,,,Poway,CA,92064,32.9756,-117.0402
Pizza Hut,7200 Archibald Ave,,10:30 AM - 11:00 PM,Rancho Cucamonga,CA,91701,34.1376,-117.5999
Pizza Hut,8001-A S Archibald Ave,,10:00 AM - 11:00 PM,Rancho Cucamonga,CA,91730,34.107,-117.5941
Pizza Hut Express,71800 Hwy 111 Suite A-137,Century At The River #479,,Rancho Mirage,CA,92270,33.7643,-116.4225
Pizza Hut Express,19483 Knighton Road,Travel Centers Of America,,Redding,CA,96002,40.5486,-122.3339
Pizza Hut,1399 W Colton Ave,Ste 1,10:00 AM - 11:00 PM,Redlands,CA,92374,34.065,-117.1672
Pizza Hut Express,27320 Lugonia Avenue,,,Redlands,CA,92374,34.065,-117.1672
Pizza Hut,450 E Cypress Ave,Ste B,11:00 AM - 10:00 PM,Redlands,CA,92373,34.0397,-117.1804
Pizza Hut Express,2485 El Camino Real,,,Redwood City,CA,94061,37.4647,-122.2304
Pizza Hut,600 W. Whipple,,9:30 AM - 11:00 PM,Redwood City,CA,94063,37.4815,-122.2091
Pizza Hut Express,825 Middlefield Rd.,Redwood Downtown 20 #485,,Redwood City,CA,94063,37.4815,-122.2091
Pizza Hut,19371-A Saticoy St.,Suite A C-12,10:00 AM - 12:00 AM,Reseda,CA,91335,34.2007,-118.5391
Pizza Hut,19417 3/4 Victory Blvd,,10:00 AM - 12:00 AM,Reseda,CA,91335,34.2007,-118.5391
Pizza Hut Express,1355 W Renaissance Pkwy,Cinemark Rialto #1147,,Rialto,CA,92376,34.1132,-117.3771
Pizza Hut,260 West Baseline Rd.,,10:00 AM - 11:00 PM,Rialto,CA,92376,34.1132,-117.3771
Pizza Hut,310 S Riverside Ave,,10:00 AM - 11:00 PM,Rialto,CA,92376,34.1132,-117.3771
Pizza Hut Express,3200 Klose Way,Century Hilltop 16 #446,,Richmond,CA,94806,37.9724,-122.3369
Pizza Hut Express,4500 Macdonald Avenue,,,Richmond,CA,94805,37.9417,-122.3238
Pizza Hut,634 S. China Lake Blvd,Unit A,9:30 AM - 11:00 PM,Ridgecrest,CA,93555,35.6225,-117.6709
Pizza Hut,1485 University Ave,,10:00 AM - 12:00 AM,Riverside,CA,92507,33.9761,-117.3389
Pizza Hut,19040 Van Buren Blvd,Ste 105,10:00 AM - 10:00 PM,Riverside,CA,92508,33.8897,-117.3043
Pizza Hut,3255 Arlington Ave,,10:00 AM - 11:00 PM,Riverside,CA,92506,33.9455,-117.3757
Pizza Hut Express,3333 Arlington Ave,,,Riverside,CA,92506,33.9455,-117.3757
Pizza Hut,3380 La Sierra Ave.,#105,10:00 AM - 11:00 PM,Riverside,CA,92503,33.9208,-117.4589
Pizza Hut,3395 University Ave,,10:00 AM - 12:00 AM,Riverside,CA,92501,33.9924,-117.3694
Pizza Hut Express,3500 Polk Street,Castle Park,,Riverside,CA,92505,33.9228,-117.4867
Pizza Hut,4620 Galena St,Suites A&B,10:00 AM - 11:00 PM,Riverside,CA,92509,34.0033,-117.445
Pizza Hut,4750 La Sierra Ave.,,10:00 AM - 12:00 AM,Riverside,CA,92505,33.9228,-117.4867
Pizza Hut,9706 Magnolia Ave,,10:30 AM - 11:00 PM,Riverside,CA,92503,33.9208,-117.4589
Pizza Hut Express,5104 Commons Drive,,,Rocklin,CA,95677,38.7877,-121.2366
Pizza Hut Express,6692 Lonetree Blvd,Century Blue Oaks #1012,,Rocklin,CA,95765,38.8136,-121.2677
Pizza Hut,2101 W. Rosamond Blvd.,,11:00 AM - 10:00 PM,Rosamond,CA,93560,34.8664,-118.3409
Pizza Hut Express,3600 Rosemead Blvd,,,Rosemead,CA,91770,34.0658,-118.0853
Pizza Hut,7779 Garvey Ave,,10:00 AM - 12:00 AM,Rosemead,CA,91770,34.0658,-118.0853
Pizza Hut Express,1925 Douglas Blvd.,,,Roseville,CA,95661,38.7346,-121.234
Pizza Hut,1758 S Nogales St,,10:00 AM - 11:00 PM,Rowland Heights,CA,91748,33.9818,-117.8969
Pizza Hut Express,1015 4th Street,Century Downtown Commons And Xd #448,,Sacramento,CA,95814,38.5804,-121.4922
Pizza Hut,1100 Fulton Ave,,9:30 AM - 11:00 PM,Sacramento,CA,95825,38.5892,-121.4057
Pizza Hut Express,1590 Ethan Way,Century Arden 14 And Xd #1137,,Sacramento,CA,95825,38.5892,-121.4057
Pizza Hut Express,3601 North Freeway Blvd.,,10:00 AM - 8:00 PM,Sacramento,CA,95834,38.6383,-121.5072
Pizza Hut,5323-A Elkhorn Blvd,,9:30 AM - 11:00 PM,Sacramento,CA,95842,38.6865,-121.3494
Pizza Hut,604 W El Camino Ave,,9:30 AM - 11:00 PM,Sacramento,CA,95833,38.6157,-121.5053
Pizza Hut Express,6233 Garfield Ave.,Century 16 Greenback Lane #476,,Sacramento,CA,95841,38.6627,-121.3406
Pizza Hut Express,6507 4th Avenue,,9:00 AM - 8:00 PM,Sacramento,CA,95817,38.5498,-121.4583
Pizza Hut,6619 Florin Rd,,9:30 AM - 11:00 PM,Sacramento,CA,95828,38.4826,-121.4006
Pizza Hut Express,1640 N. Main Street,,,Salinas,CA,93906,36.7103,-121.6438
Pizza Hut Express,350 Northridge Shopping Ctr.,Northridge 14 #449,,Salinas,CA,93906,36.7103,-121.6438
Pizza Hut Express,Salton City Travel Plaza,2084 S Marina Dr,,Salton City,CA,92275,33.3092,-115.9578
Pizza Hut,1050 Kendall Dr.,Ste. D,10:00 AM - 12:00 AM,San Bernardino,CA,92407,34.2166,-117.3908
Pizza Hut,1102 E Highland Ave,,10:00 AM - 12:00 AM,San Bernardino,CA,92404,34.1426,-117.2606
Pizza Hut,2999 Kendall Dr.,Suite C-14,10:00 AM - 12:00 AM,San Bernardino,CA,92407,34.2166,-117.3908
Pizza Hut,398 West Baseline Street,,10:00 AM - 12:00 AM,San Bernardino,CA,92410,34.1069,-117.2975
Pizza Hut,595 S Mount Vernon Ave,,10:00 AM - 12:00 AM,San Bernardino,CA,92410,34.1069,-117.2975
Pizza Hut Express,1150 El Camino Real,,,San Bruno,CA,94066,37.6247,-122.429
Pizza Hut Express,1188 El Camino Real 4th Floor,Century Tanforan #494,,San Bruno,CA,94066,37.6247,-122.429
Pizza Hut Express,990 Avenida Vista Hermosa,,,San Clemente,CA,92673,33.4615,-117.6375
Pizza Hut,11808 Rancho Bernardo Rd.,,11:00 AM - 10:00 PM,San Diego,CA,92128,33.0067,-117.069
Pizza Hut Express,1288 Camino Del Rio North,,,San Diego,CA,92108,32.7783,-117.1335
Pizza Hut Express,1599 La Media Road,La Media Chevron Travel Center,8:00 AM - 8:00 PM,San Diego,CA,92154,32.5753,-117.0707
Pizza Hut,1740 Euclid Ave,,11:00 AM - 11:00 PM,San Diego,CA,92105,32.7423,-117.0947
Pizza Hut Express,2260 Callagan Highway. Bldg 3187A,32nd Street Naval Station - San Diego Main Navy Ex,,San Diego,CA,92136,32.6834,-117.1219
Pizza Hut,2340 University Avenue,,11:00 AM - 11:00 PM,San Diego,CA,92104,32.7454,-117.1272
Pizza Hut,2695 Mission Village Drive,,11:00 AM - 11:00 PM,San Diego,CA,92123,32.7973,-117.1392
Pizza Hut,2931 Beyer Blvd.,,11:00 AM - 11:00 PM,San Diego,CA,92154,32.5753,-117.0707
Pizza Hut,2931 Market St,,11:00 AM - 11:00 PM,San Diego,CA,92102,32.7139,-117.1219
Pizza Hut Express,3245 Sports Area Blvd.,,,San Diego,CA,92110,32.7635,-117.2028
Pizza Hut,3549 Midway Dr,,11:00 AM - 11:00 PM,San Diego,CA,92110,32.7635,-117.2028
Pizza Hut,4090 El Cajon Blvd,Ste C,11:00 AM - 11:00 PM,San Diego,CA,92105,32.7423,-117.0947
Pizza Hut Express,5454 Balboa Avenue,,,San Diego,CA,92111,32.7972,-117.1708
Pizza Hut,6911 Linda Vista Rd,,11:00 AM - 10:00 PM,San Diego,CA,92111,32.7972,-117.1708
Pizza Hut,8214 Mira Mesa Blvd,# 103,11:00 AM - 11:00 PM,San Diego,CA,92126,32.9161,-117.1402
Pizza Hut Express,8251 Mira Mesa Blvd.,,,San Diego,CA,92126,32.9161,-117.1402
Pizza Hut Express,888 W Arrow Hwy,,,San Dimas,CA,91773,34.1023,-117.8169
Pizza Hut,551 N. Maclay Ave.,,10:00 AM - 12:00 AM,San Fernando,CA,91340,34.2875,-118.4352
Pizza Hut Express,865 Market St,Century San Francisco Centre 9 & Xd #467,,San Francisco,CA,94103,37.7725,-122.4147
Pizza Hut,927 E Las Tunas Dr. A,,10:00 AM - 12:00 AM,San Gabriel,CA,91776,34.089,-118.0955
Pizza Hut,490 N State St,,9:30 AM - 11:00 PM,San Jacinto,CA,92583,33.7967,-116.9324
Pizza Hut Express,1750 Story Road,,,San Jose,CA,95122,37.3293,-121.8339
Pizza Hut Express,2161 Monterey Highway,,,San Jose,CA,95125,37.296,-121.8939
Pizza Hut,226 West Alma Ave,Ste. 40,9:30 AM - 11:00 PM,San Jose,CA,95110,37.3391,-121.9016
Pizza Hut,3094A Story Rd,,9:30 AM - 11:00 PM,San Jose,CA,95127,37.3692,-121.8208
Pizza Hut Express,3155 Silver Creek Road,,,San Jose,CA,95121,37.3042,-121.8099
Pizza Hut,3161 Senter Rd,,9:30 AM - 11:00 PM,San Jose,CA,95111,37.2827,-121.8265
Pizza Hut Express,533 Coleman Ave,,,San Jose,CA,95110,37.3391,-121.9016
Pizza Hut Express,5630 Cottle Road,,,San Jose,CA,95123,37.2458,-121.8306
Pizza Hut,5689 Cottle Rd,,9:30 AM - 11:00 PM,San Jose,CA,95123,37.2458,-121.8306
Pizza Hut Express,879 Blossom Hill Road,,,San Jose,CA,95123,37.2458,-121.8306
Pizza Hut Express,925 Blossom Hill Rd. Suite 2000,Oakridge 20 #477,,San Jose,CA,95123,37.2458,-121.8306
Pizza Hut Express,95 Holger Way,,,San Jose,CA,95134,37.4087,-121.9406
Pizza Hut,32095 Camino Capistrano,,10:00 AM - 10:00 PM,San Juan Capistrano,CA,92675,33.5085,-117.6565
Pizza Hut,15099 Hesperian Blvd.,Ste C,9:30 AM - 11:00 PM,San Leandro,CA,94578,37.7024,-122.124
Pizza Hut Express,15555 East 14th Street Suite 600,Century 16 Bayfair Mall,,San Leandro,CA,94578,37.7024,-122.124
Pizza Hut Express,11990 Los Osos Valley Rd,,,San Luis Obispo,CA,93405,35.2901,-120.6817
Pizza Hut,1915 W. San Marcos Blvd,,11:00 AM - 10:00 PM,San Marcos,CA,92069,33.1444,-117.1697
Pizza Hut,705 Center Drive,#106,11:00 AM - 10:00 PM,San Marcos,CA,92069,33.1444,-117.1697
Pizza Hut Express,2220 Bridge Point Parkway,,,San Mateo,CA,94404,37.5538,-122.27
Pizza Hut Express,320 East 2nd Avenue,Century 12 #437,,San Mateo,CA,94401,37.5735,-122.3225
Pizza Hut,14501 San Pablo Ave,,9:30 AM - 11:00 PM,San Pablo,CA,94806,37.9724,-122.3369
Pizza Hut Express,1701 N Gaffey St,,,San Pedro,CA,90731,33.7339,-118.2914
Pizza Hut,650 S Gaffey St,,10:00 AM - 11:00 PM,San Pedro,CA,90731,33.7339,-118.2914
Pizza Hut Express,125 Shoreline Parkway,,,San Rafael,CA,94901,37.9691,-122.5105
Pizza Hut Express,2610 Bishop Drive,,,San Ramon,CA,94583,37.7562,-121.9522
Pizza Hut,1036 S. Main St.,#104,10:00 AM - 11:00 PM,Santa Ana,CA,92701,33.7523,-117.8541
Pizza Hut Express,1441 W. 17th Street,,,Santa Ana,CA,92706,33.7691,-117.8855
Pizza Hut,1714 E. McFadden Ave.,Suite O,10:00 AM - 11:00 PM,Santa Ana,CA,92705,33.754,-117.7919
Pizza Hut,2003 W. 1st St. B,,10:00 AM - 11:00 PM,Santa Ana,CA,92703,33.7489,-117.9072
Pizza Hut,2390 N Tustin Ave.,Suite A,10:00 AM - 11:00 PM,Santa Ana,CA,92705,33.754,-117.7919
Pizza Hut,2541 S Fairview St,,10:00 AM - 11:00 PM,Santa Ana,CA,92704,33.7249,-117.909
Pizza Hut Express,3300 South Bristol Street,,,Santa Ana,CA,92704,33.7249,-117.909
Pizza Hut,3317 S Bristol St,,10:00 AM - 11:00 PM,Santa Ana,CA,92704,33.7249,-117.909
Pizza Hut,715 N Harbor Blvd.,#103,10:00 AM - 11:00 PM,Santa Ana,CA,92703,33.7489,-117.9072
Pizza Hut,806 W 17th St,,10:00 AM - 11:00 PM,Santa Ana,CA,92706,33.7691,-117.8855
Pizza Hut Express,2004 El Camino Real,,,Santa Clara,CA,95050,37.3492,-121.953
Pizza Hut Express,19105 Golden Valley Road,,,Santa Clarita,CA,91387,34.4132,-118.426
Pizza Hut,27984 Seco Canyon Rd.,#303,10:00 AM - 11:00 PM,Santa Clarita,CA,91350,34.4336,-118.5007
Pizza Hut,743 E Main St,,10:00 AM - 12:00 AM,Santa Maria,CA,93454,34.9545,-120.4325
Pizza Hut,2029 Pico Blvd,,10:00 AM - 12:00 AM,Santa Monica,CA,90405,34.01,-118.4717
Pizza Hut Express,1980 Santa Rosa Avenue,,,Santa Rosa,CA,95404,38.4405,-122.7144
Pizza Hut Express,900 Coddington Center,,,Santa Rosa,CA,95401,38.4432,-122.7547
Pizza Hut Express,640 Pacific Coast Hwy,,,Seal Beach,CA,90740,33.7602,-118.0808
Pizza Hut,14900 Burbank Blvd,,10:00 AM - 12:00 AM,Sherman Oaks,CA,91411,34.1781,-118.4574
Pizza Hut Express,950 East 33rd Street,,,Signal Hill,CA,90807,33.8315,-118.1811
Pizza Hut,2050 D First Street,,10:30 AM - 11:00 PM,Simi Valley,CA,93065,34.2656,-118.7653
Pizza Hut,4419 Alamo St,,10:00 AM - 11:00 PM,Simi Valley,CA,93063,34.3046,-118.6844
Pizza Hut Express,51 Tierra Rejada Road,,,Simi Valley,CA,93065,34.2656,-118.7653
Pizza Hut,3255 Tweedy Blvd,,10:00 AM - 11:00 PM,South Gate,CA,90280,33.9462,-118.2013
Pizza Hut Express,5700 Firestone Blvd.,,,South Gate,CA,90280,33.9462,-118.2013
Pizza Hut,3599 Lake Tahoe Blvd.,,10:00 AM - 10:00 PM,South Lake Tahoe,CA,96150,38.917,-119.9865
Pizza Hut,553 El Camino Real,,9:30 AM - 11:00 PM,South San Francisco,CA,94080,37.6574,-122.4235
Pizza Hut,8300 Paradise Valley Rd.,#124,11:00 AM - 11:00 PM,Spring Valley,CA,91977,32.724,-116.9976
Pizza Hut,9805 Campo Rd.,Suite 150,11:00 AM - 11:00 PM,Spring Valley,CA,91977,32.724,-116.9976
Pizza Hut,12003 Beach Blvd,,10:00 AM - 11:00 PM,Stanton,CA,90680,33.7991,-117.9956
Pizza Hut Express,10850 Trinity Parkway,,,Stockton,CA,95219,38.01,-121.3698
Pizza Hut,4729 N. Pershing Ave.,#A,9:30 AM - 11:00 PM,Stockton,CA,95207,38.0024,-121.3238
Pizza Hut Express,4747 Pacific Avenue,,,Stockton,CA,95207,38.0024,-121.3238
Pizza Hut,8337 Foothill Blvd.,#1,10:30 AM - 11:00 PM,Sunland,CA,91040,34.2618,-118.3371
Pizza Hut,464 N Mathilda Ave,,9:30 AM - 11:00 PM,Sunnyvale,CA,94085,37.3886,-122.0177
Pizza Hut,12737 Glenoaks Blvd,,10:00 AM - 12:00 AM,Sylmar,CA,91342,34.3054,-118.4322
Pizza Hut,900 Kern St.,Suite C,9:30 AM - 11:00 PM,Taft,CA,93268,35.1482,-119.4557
Pizza Hut,27267 Nicolas Road,Suite E-104,9:30 AM - 11:00 PM,Temecula,CA,92591,33.5217,-117.1286
Pizza Hut,33195 Hwy 79 South,Ste D,10:00 AM - 11:00 PM,Temecula,CA,92592,33.4983,-117.0958
Pizza Hut Express,2705 Teller Road,,,Thousand Oaks,CA,91320,34.1774,-118.9358
Pizza Hut,75 S Rancho Rd,,10:00 AM - 11:00 PM,Thousand Oaks,CA,91362,34.1948,-118.8232
Pizza Hut Express,683 N. Thompson Road,Tipton Shell,,Tipton,CA,93272,36.0546,-119.3078
Pizza Hut,1173 W Carson St,,10:00 AM - 11:00 PM,Torrance,CA,90502,33.8286,-118.292
Pizza Hut,20305 Anza Ave.-Suite D,,10:00 AM - 11:00 PM,Torrance,CA,90503,33.8397,-118.3542
Pizza Hut,2208 Artesia Blvd,,10:00 AM - 11:00 PM,Torrance,CA,90504,33.8708,-118.3295
Pizza Hut,3902 Pacific Coast Hwy.,,10:30 AM - 10:00 PM,Torrance,CA,90505,33.8106,-118.3507
Pizza Hut Express,2800 Naglee Road,,,Tracy,CA,95304,37.7319,-121.4096
Pizza Hut Express,3300 N. Naglee Road,Movies 14 #217,,Tracy,CA,95376,37.7383,-121.4345
Pizza Hut,720 W 11th St,,9:30 AM - 11:00 PM,Tracy,CA,95376,37.7383,-121.4345
Pizza Hut,1304 Prosperity Ave.,,9:30 AM - 11:00 PM,Tulare,CA,93274,36.2022,-119.338
Pizza Hut Express,2195 E Prosperity Ave.,,,Tulare,CA,93274,36.2022,-119.338
Pizza Hut,920 Lander Avenue,,9:30 AM - 12:00 AM,Turlock,CA,95380,37.4888,-120.8535
Pizza Hut,13662 Newport Ave.,,10:00 AM - 10:00 PM,Tustin,CA,92780,33.7364,-117.8229
Pizza Hut,14531 Red Hill Ave,,10:00 AM - 10:00 PM,Tustin,CA,92780,33.7364,-117.8229
Pizza Hut Express,2300 Park Ave,,,Tustin,CA,92782,33.7346,-117.7869
Pizza Hut,72526 29 Palms Hwy,,9:30 AM - 1:00 AM,Twentynine Palms,CA,92277,34.1455,-116.0601
Pizza Hut Express,32100 Union Landing,Century 25 Union Landing #423,,Union City,CA,94587,37.5895,-122.0497
Pizza Hut Express,100 Universal City Plaza,Universal Studios - City Walk,,Universal City,CA,91608,34.1383,-118.3528
Pizza Hut,1261 W Foothill Blvd.,,10:00 AM - 11:00 PM,Upland,CA,91786,34.1144,-117.6583
Pizza Hut Express,1931 N. Campus Avenue,,,Upland,CA,91784,34.141,-117.6581
Pizza Hut Express,109 Plaza Dr. Gateway Plaza Center,Century Vallejo 14 # 445,,Vallejo,CA,94591,38.0985,-122.2124
Pizza Hut,905 Broadway,,9:30 AM - 11:00 PM,Vallejo,CA,94590,38.1053,-122.2474
Pizza Hut Express,14920 Raymer Street,,,Van Nuys,CA,91405,34.2001,-118.4456
Pizza Hut,17630 Vanowens Blvd,,10:00 AM - 12:00 AM,Van Nuys,CA,91406,34.2006,-118.4868
Pizza Hut Express,5711 W. Sepulveda Blvd.,,,Van Nuys,CA,91411,34.1781,-118.4574
Pizza Hut,7136 Van Nuys Blvd,,10:00 AM - 12:00 AM,Van Nuys,CA,91405,34.2001,-118.4456
Pizza Hut,1411 Lincoln Blvd,Suite 6,10:00 AM - 12:00 AM,Venice,CA,90291,33.9938,-118.4635
Pizza Hut,1455 S. Victoria Ave.,Suite A,10:30 AM - 11:00 PM,Ventura,CA,93003,34.2846,-119.2222
Pizza Hut Express,245 S. Mills Road,,9:00 AM - 10:00 PM,Ventura,CA,93003,34.2846,-119.2222
Pizza Hut,12183 Hesperia Rd,,9:30 AM - 11:00 PM,Victorville,CA,92395,34.5016,-117.2944
Pizza Hut Express,14470 Bear Valley Rd,,,Victorville,CA,92392,34.4802,-117.4082
Pizza Hut,14582 Palmdale Rd,,9:30 AM - 11:00 PM,Victorville,CA,92392,34.4802,-117.4082
Pizza Hut,250 S. Akers,,9:30 AM - 11:00 PM,Visalia,CA,93291,36.3551,-119.301
Pizza Hut Express,3308 North Dinuba Blvd.,,,Visalia,CA,93291,36.3551,-119.301
Pizza Hut,416 E Tulare Ave,,9:30 AM - 11:00 PM,Visalia,CA,93277,36.3114,-119.3065
Pizza Hut,1289 E. Vista Way,,11:00 AM - 11:00 PM,Vista,CA,92084,33.2131,-117.2243
Pizza Hut Express,1751 University Dr.,,,Vista,CA,92083,33.1978,-117.2482
Pizza Hut Express,3150 Business Park Drive,,,Vista,CA,92081,33.1644,-117.2403
Pizza Hut Express,1871 North Main,,,Walnut Creek,CA,94596,37.9053,-122.0549
Pizza Hut,2340 Highway 46,,9:30 AM - 10:00 PM,Wasco,CA,93280,35.648,-119.4487
Pizza Hut Express,2831 Eastland Center.,,,West Covina,CA,91791,34.0653,-117.8978
Pizza Hut,3646 Nogales St.,Unit C,10:00 AM - 11:00 PM,West Covina,CA,91792,34.0229,-117.8975
Pizza Hut,504 S Vincent Ave,,10:00 AM - 11:00 PM,West Covina,CA,91790,34.0673,-117.9366
Pizza Hut Express,30740 Russell Ranch Road,,9:00 AM - 8:00 PM,Westlake Village,CA,91362,34.1948,-118.8232
Pizza Hut Express,200 Westminster Mall,,,Westminster,CA,92683,33.7524,-117.9939
Pizza Hut,6902 Westminster Blvd,,10:00 AM - 11:00 PM,Westminster,CA,92683,33.7524,-117.9939
Pizza Hut,11550 Whittier Blvd,,10:00 AM - 11:00 PM,Whittier,CA,90601,34.0011,-118.0371
Pizza Hut,13525 Telegraph Rd C,,10:00 AM - 12:00 AM,Whittier,CA,90605,33.9413,-118.0356
Pizza Hut Express,15614 Whittwood Lane,,,Whittier,CA,90603,33.9432,-117.9927
Pizza Hut,909 W Pacific Coast Hwy,,10:00 AM - 11:00 PM,Wilmington,CA,90744,33.7855,-118.2645
Pizza Hut Express,18455 County Road 102,,,Woodland,CA,95776,38.6808,-121.7411
Pizza Hut Express,20801 Ventura Blvd.,Target - T0288,,Woodland Hills,CA,91364,34.1557,-118.6
Pizza Hut,19725 Yorba Linda Blvd,,10:00 AM - 10:00 PM,Yorba Linda,CA,92886,33.9058,-117.7865
Pizza Hut,34309 Yucaipa Blvd,Ste A,11:00 AM - 10:00 PM,Yucaipa,CA,92399,34.0282,-117.0489
Pizza Hut,58012 29 Palms Hwy,,9:30 AM - 11:00 PM,Yucca Valley,CA,92284,34.1559,-116.4313
Pizza Hut Express,1st Street And Stadium Drive,Adams State University,,Alamosa,CO,81102,37.476,-105.8818
Pizza Hut,814 Main St,,11:00 AM - 10:00 PM,Alamosa,CO,81101,37.4703,-105.8786
Pizza Hut,8990 Ralston Rd,,10:00 AM - 11:00 PM,Arvada,CO,80002,39.7945,-105.0984
Pizza Hut,1086 S Sable Blvd,,10:00 AM - 11:00 PM,Aurora,CO,80012,39.6987,-104.8377
Pizza Hut Express,14200 E Ellsworth Avenue,Target - T1471,,Aurora,CO,80012,39.6987,-104.8377
Pizza Hut Express,14300 East Alameda Ave.,Century Aurora #428,,Aurora,CO,80012,39.6987,-104.8377
Pizza Hut,14601 E. Colfax Ave.,Unit C,10:00 AM - 11:00 PM,Aurora,CO,80011,39.7378,-104.8152
Pizza Hut,1545 S. Havana St.,,10:00 AM - 11:00 PM,Aurora,CO,80012,39.6987,-104.8377
Pizza Hut,16800 E. Iliff Ave.,,10:00 AM - 11:00 PM,Aurora,CO,80013,39.6575,-104.7846
Pizza Hut,18187 E Hampden Ave,,10:00 AM - 11:00 PM,Aurora,CO,80013,39.6575,-104.7846
Pizza Hut,5657 S Himalaya St,#260,10:00 AM - 11:00 PM,Aurora,CO,80015,39.6255,-104.7874
Pizza Hut Express,7400 S. Gartrell Road,,,Aurora,CO,80016,39.6012,-104.7394
Pizza Hut,821 W. Mountain Ave.,,11:00 AM - 9:00 PM,Berthoud,CO,80513,40.2993,-105.1055
Pizza Hut Express,2800 Pearl St.,,,Boulder,CO,80301,40.0497,-105.2143
Pizza Hut Express,2171 Prairie Center Pkwy.,,,Brighton,CO,80601,39.943,-104.7866
Pizza Hut,2210 E Bridge St,,10:00 AM - 10:00 PM,Brighton,CO,80601,39.943,-104.7866
Pizza Hut Express,10445 Reed Street,,,Broomfield,CO,80021,39.8854,-105.1139
Pizza Hut,320 S Lincoln St,,10:30 AM - 10:00 PM,Burlington,CO,80807,39.3106,-102.2583
Pizza Hut,310 N. 16th Street,# A-C,10:30 AM - 10:00 PM,Canon City,CO,81212,38.4451,-105.2178
Pizza Hut,340 S Wilcox St,,12:00 PM - 9:00 PM,Castle Rock,CO,80104,39.3722,-104.8561
Pizza Hut,10639 E. Briarwood Ave.,Space B1,10:00 AM - 11:00 PM,Centennial,CO,80112,39.5805,-104.9011
Pizza Hut,5270 E Arapahoe Rd.,#G3,10:00 AM - 11:00 PM,Centennial,CO,80122,39.5814,-104.9557
Pizza Hut,571 32 Rd,Unit A,10:30 AM - 11:00 PM,Clifton,CO,81520,39.0805,-108.4496
